timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553047332708,463,HTTP Request,200,,Thread Group 1-1,,true,,811,254,5,5,http://13.57.32.177/project1-master-team90/api/movies?title=Dark+Knight&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,463,0,49
1553047333004,167,HTTP Request,200,,Thread Group 1-4,,true,,195,255,5,5,http://13.57.32.177/project1-master-team90/api/movies?title=Forrest+Gump&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,167,0,40
1553047332901,270,HTTP Request,200,,Thread Group 1-3,,true,,1795,247,5,5,http://13.57.32.177/project1-master-team90/api/movies?title=Cake&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,270,0,23
1553047332805,376,HTTP Request,200,,Thread Group 1-2,,true,,14295,247,5,5,http://13.57.32.177/project1-master-team90/api/movies?title=star&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,369,0,36
1553047333173,81,HTTP Request,200,,Thread Group 1-3,,true,,163,276,6,6,http://13.57.32.177/project1-master-team90/api/movies?title=Batman+Begins&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,81,0,33
1553047333103,151,HTTP Request,200,,Thread Group 1-5,,true,,195,258,6,6,http://13.57.32.177/project1-master-team90/api/movies?title=The+Sixth+Sense&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,151,0,23
1553047333182,112,HTTP Request,200,,Thread Group 1-2,,true,,163,282,6,6,http://13.57.32.177/project1-master-team90/api/movies?title=Million+Dollar+Baby&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,112,0,24
1553047333173,122,HTTP Request,200,,Thread Group 1-1,,true,,781,277,6,6,http://13.57.32.177/project1-master-team90/api/movies?title=Bruce+Almighty&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,122,0,34
1553047333173,160,HTTP Request,200,,Thread Group 1-4,,true,,163,274,7,7,http://13.57.32.177/project1-master-team90/api/movies?title=Being+Human&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,160,0,32
1553047333255,158,HTTP Request,200,,Thread Group 1-5,,true,,163,284,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=The+Lord+of+the+Rings&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,158,0,36
1553047333203,211,HTTP Request,200,,Thread Group 1-6,,true,,195,257,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=The+Two+Towers&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,211,0,48
1553047333255,160,HTTP Request,200,,Thread Group 1-3,,true,,163,279,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=Live+and+Let+Die&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,160,0,37
1553047333296,199,HTTP Request,200,,Thread Group 1-1,,true,,163,283,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=The+Spy+Who+Loved+Me&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,199,0,36
1553047333305,190,HTTP Request,200,,Thread Group 1-7,,true,,195,255,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=Notting+Hill&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,190,0,27
1553047333294,202,HTTP Request,200,,Thread Group 1-2,,true,,163,277,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=Shall+We+Dance&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,202,0,39
1553047333333,165,HTTP Request,200,,Thread Group 1-4,,true,,666,274,8,8,http://13.57.32.177/project1-master-team90/api/movies?title=Ghost+World&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,165,0,40
1553047333404,171,HTTP Request,200,,Thread Group 1-8,,true,,195,261,9,9,http://13.57.32.177/project1-master-team90/api/movies?title=The+Usual+Suspects&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,171,0,49
1553047333415,161,HTTP Request,200,,Thread Group 1-3,,true,,163,276,9,9,http://13.57.32.177/project1-master-team90/api/movies?title=The+Lost+Boys&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,161,0,39
1553047333413,163,HTTP Request,200,,Thread Group 1-5,,true,,770,277,9,9,http://13.57.32.177/project1-master-team90/api/movies?title=Vampire+Effect&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,163,0,40
1553047333496,162,HTTP Request,200,,Thread Group 1-7,,true,,163,281,10,10,http://13.57.32.177/project1-master-team90/api/movies?title=American+History+X&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,162,0,38
1553047333495,163,HTTP Request,200,,Thread Group 1-1,,true,,666,274,10,10,http://13.57.32.177/project1-master-team90/api/movies?title=Ghost+World&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,163,0,39
